tract,iou,alignment,recurrence_score,image_group,initial_label,label_spread_prediction
tract_1,0.0,0.266,0.0,32_376_453,-1,0
tract_2,0.0,0.195,0.0,32_376_453,-1,0
tract_3,0.0,0.015,0.0,32_376_453,-1,0
tract_4,0.0,0.95,0.0,32_376_453,-1,0
tract_5,0.023,0.14,61.3,32_376_453,-1,1
tract_6,0.0,0.006,27.29,32_376_453,-1,1
tract_7,0.0,0.15,11.41,32_376_453,-1,0
tract_8,0.0,0.994,0.0,32_376_453,-1,0
tract_1,0.0,0.571,0.0,32_387_482,-1,0
tract_2,0.0,0.26,0.0,32_387_482,-1,0
tract_3,0.0,0.323,0.0,32_387_482,-1,0
tract_4,0.0,0.999,0.0,32_387_482,-1,0
tract_5,0.044,0.523,61.3,32_387_482,-1,1
tract_6,0.0,0.076,27.29,32_387_482,-1,1
tract_7,0.0,0.463,11.41,32_387_482,-1,1
tract_8,0.0,0.908,0.0,32_387_482,-1,0
tract_1,0.0,0.523,11.0,33_209_534,1,1
tract_2,0.0,0.035,25.48,33_209_534,1,1
tract_3,0.095,0.746,63.52,33_209_534,1,1
tract_4,0.0,0.412,0.0,33_209_534,0,0
tract_5,0.0,0.659,0.0,33_209_534,0,0
tract_6,0.0,0.144,0.0,33_209_534,0,0
tract_7,0.0,0.603,0.0,33_209_534,0,0
tract_8,0.0,0.731,0.0,33_209_534,0,0
tract_1,0.0,0.084,23.53,33_221_348,-1,1
tract_2,0.016,0.085,54.58,33_221_348,-1,1
tract_3,0.0,0.363,21.89,33_221_348,-1,1
tract_4,0.0,0.782,0.0,33_221_348,-1,0
tract_5,0.0,0.267,0.0,33_221_348,-1,0
tract_6,0.0,0.063,0.0,33_221_348,-1,0
tract_7,0.0,0.194,0.0,33_221_348,-1,0
tract_8,0.0,0.96,0.0,33_221_348,-1,0
tract_1,0.0,0.077,1.96,33_222_396,-1,0
tract_2,0.033,0.185,24.55,33_222_396,-1,1
tract_3,0.0,0.208,18.51,33_222_396,-1,1
tract_4,0.05,0.855,30.29,33_222_396,-1,1
tract_5,0.0,0.113,17.89,33_222_396,-1,1
tract_6,0.0,0.031,4.7,33_222_396,-1,0
tract_7,0.0,0.037,1.97,33_222_396,-1,0
tract_8,0.0,0.991,0.13,33_222_396,-1,0
tract_1,0.013,0.069,24.47,33_226_206,-1,1
tract_2,0.002,0.091,6.85,33_226_206,-1,0
tract_3,0.0,0.394,2.65,33_226_206,-1,0
tract_4,0.0,0.761,0.17,33_226_206,-1,0
tract_5,0.0,0.297,2.53,33_226_206,-1,0
tract_6,0.0,0.07,5.67,33_226_206,-1,0
tract_7,0.0,0.225,22.0,33_226_206,-1,1
tract_8,0.219,0.876,35.66,33_226_206,-1,1
tract_1,0.0,0.91,20.08,33_233_272,1,1
tract_2,0.04,0.325,18.29,33_233_272,0,0
tract_3,0.0,0.774,2.17,33_233_272,0,0
tract_4,0.0,0.83,0.15,33_233_272,0,0
tract_5,0.0,0.799,2.27,33_233_272,0,0
tract_6,0.0,0.164,5.11,33_233_272,0,0
tract_7,0.0,0.841,19.81,33_233_272,1,1
tract_8,0.101,0.637,32.11,33_233_272,1,1
tract_1,0.0,0.113,2.45,33_237_489,-1,0
tract_2,0.0,0.096,5.67,33_237_489,-1,0
tract_3,0.0,0.395,23.14,33_237_489,-1,1
tract_4,0.13,0.75,37.87,33_237_489,-1,1
tract_5,0.0,0.294,22.36,33_237_489,-1,1
tract_6,0.0,0.069,5.88,33_237_489,-1,0
tract_7,0.0,0.221,2.46,33_237_489,-1,0
tract_8,0.0,0.952,0.17,33_237_489,-1,0
tract_1,0.0,0.461,2.45,33_246_467,-1,0
tract_2,0.0,0.239,5.67,33_246_467,-1,0
tract_3,0.0,0.197,23.14,33_246_467,-1,1
tract_4,0.257,0.966,37.87,33_246_467,-1,1
tract_5,0.0,0.275,22.36,33_246_467,-1,1
tract_6,0.0,0.051,5.88,33_246_467,-1,0
tract_7,0.0,0.348,2.46,33_246_467,-1,0
tract_8,0.0,0.954,0.17,33_246_467,-1,0
tract_1,0.0,0.81,2.45,33_257_471,-1,0
tract_2,0.0,0.149,5.67,33_257_471,-1,0
tract_3,0.0,0.947,23.14,33_257_471,-1,1
tract_4,0.016,0.068,37.87,33_257_471,-1,1
tract_5,0.0,0.882,22.36,33_257_471,-1,1
tract_6,0.0,0.189,5.88,33_257_471,-1,0
tract_7,0.0,0.851,2.46,33_257_471,-1,0
tract_8,0.0,0.404,0.17,33_257_471,-1,0
tract_1,0.0,0.875,2.42,33_271_440,-1,0
tract_2,0.0,0.182,5.62,33_271_440,-1,0
tract_3,0.0,0.979,22.91,33_271_440,-1,1
tract_4,0.052,0.175,37.49,33_271_440,-1,1
tract_5,0.0,0.924,22.14,33_271_440,-1,1
tract_6,0.001,0.194,6.82,33_271_440,-1,0
tract_7,0.0,0.902,2.43,33_271_440,-1,0
tract_8,0.0,0.283,0.17,33_271_440,-1,0
tract_1,0.0,0.426,2.45,33_278_488,-1,0
tract_2,0.0,0.231,5.67,33_278_488,-1,0
tract_3,0.0,0.158,23.14,33_278_488,-1,1
tract_4,0.158,0.99,37.87,33_278_488,-1,1
tract_5,0.0,0.237,22.36,33_278_488,-1,1
tract_6,0.0,0.043,5.88,33_278_488,-1,0
tract_7,0.0,0.312,2.46,33_278_488,-1,0
tract_8,0.0,0.965,0.17,33_278_488,-1,0
tract_1,0.013,0.47,20.46,33_284_173,1,1
tract_2,0.0,0.24,3.4,33_284_173,0,0
tract_3,0.0,0.203,1.37,33_284_173,0,0
tract_4,0.0,0.995,0.5,33_284_173,0,0
tract_5,0.0,0.281,4.53,33_284_173,0,0
tract_6,0.0,0.052,10.16,33_284_173,0,0
tract_7,0.048,0.342,24.31,33_284_173,1,1
tract_8,0.04,0.937,35.27,33_284_173,1,1
tract_1,0.0,0.035,2.45,33_286_471,0,0
tract_2,0.0,0.137,5.67,33_286_471,0,0
tract_3,0.0,0.249,23.14,33_286_471,1,1
tract_4,0.219,0.916,37.87,33_286_471,1,1
tract_5,0.0,0.16,22.36,33_286_471,1,1
tract_6,0.0,0.04,5.88,33_286_471,0,0
tract_7,0.0,0.078,2.46,33_286_471,0,0
tract_8,0.0,0.986,0.17,33_286_471,0,0
tract_1,0.0,0.67,1.89,33_290_404,0,0
tract_2,0.0,0.09,4.38,33_290_404,0,0
tract_3,0.0,0.857,17.89,33_290_404,0,0
tract_4,0.023,0.231,29.28,33_290_404,1,1
tract_5,0.001,0.778,18.36,33_290_404,1,1
tract_6,0.017,0.234,26.04,33_290_404,1,1
tract_7,0.0,0.733,2.02,33_290_404,0,0
tract_8,0.0,0.591,0.14,33_290_404,0,0
tract_1,0.0,0.946,22.55,33_291_277,-1,1
tract_2,0.0,0.223,6.08,33_291_277,-1,0
tract_3,0.0,0.997,2.44,33_291_277,-1,0
tract_4,0.0,0.296,0.17,33_291_277,-1,0
tract_5,0.0,0.958,2.55,33_291_277,-1,0
tract_6,0.005,0.05,7.9,33_291_277,-1,0
tract_7,0.0,0.951,22.24,33_291_277,-1,1
tract_8,0.078,0.751,36.06,33_291_277,-1,1
tract_1,0.0,0.421,19.0,33_292_292,-1,1
tract_2,0.0,0.23,5.12,33_292_292,-1,0
tract_3,0.0,0.152,2.06,33_292_292,-1,0
tract_4,0.0,0.989,0.15,33_292_292,-1,0
tract_5,0.0,0.233,2.15,33_292_292,-1,0
tract_6,0.017,0.146,22.41,33_292_292,-1,1
tract_7,0.0,0.307,18.74,33_292_292,-1,1
tract_8,0.03,0.988,30.38,33_292_292,-1,1
tract_1,0.0,0.181,0.0,33_299_320,-1,0
tract_2,0.0,0.175,0.0,33_299_320,-1,0
tract_3,0.0,0.103,0.0,33_299_320,-1,0
tract_4,0.0,0.92,0.0,33_299_320,-1,0
tract_5,0.0,0.011,23.89,33_299_320,-1,1
tract_6,0.019,0.133,53.68,33_299_320,-1,1
tract_7,0.0,0.065,22.43,33_299_320,-1,1
tract_8,0.0,0.998,0.0,33_299_320,-1,0
tract_1,0.0,0.741,22.97,33_302_255,-1,1
tract_2,0.0,0.119,6.19,33_302_255,-1,0
tract_3,0.0,0.905,2.49,33_302_255,-1,0
tract_4,0.0,0.134,0.18,33_302_255,-1,0
tract_5,0.0,0.833,2.6,33_302_255,-1,0
tract_6,0.002,0.017,6.17,33_302_255,-1,0
tract_7,0.0,0.796,22.66,33_302_255,-1,1
tract_8,0.17,0.592,36.74,33_302_255,-1,1
tract_1,0.0,0.979,0.0,33_310_379,-1,0
tract_2,0.0,0.253,0.0,33_310_379,-1,0
tract_3,0.0,0.983,0.0,33_310_379,-1,0
tract_4,0.0,0.452,0.0,33_310_379,-1,0
tract_5,0.0,0.959,23.89,33_310_379,-1,1
tract_6,0.189,0.949,53.68,33_310_379,-1,1
tract_7,0.0,0.965,22.43,33_310_379,-1,1
tract_8,0.0,0.071,0.0,33_310_379,-1,0
tract_1,0.0,0.166,22.2,33_316_265,-1,1
tract_2,0.0,0.171,5.99,33_316_265,-1,0
tract_3,0.0,0.118,2.4,33_316_265,-1,0
tract_4,0.0,0.913,0.17,33_316_265,-1,0
tract_5,0.0,0.026,2.52,33_316_265,-1,0
tract_6,0.015,0.091,9.32,33_316_265,-1,0
tract_7,0.0,0.05,21.9,33_316_265,-1,1
tract_8,0.146,0.997,35.5,33_316_265,-1,1
tract_1,0.0,0.978,17.79,33_322_261,-1,1
tract_2,0.0,0.284,4.8,33_322_261,-1,0
tract_3,0.0,0.915,1.93,33_322_261,-1,0
tract_4,0.0,0.65,0.14,33_322_261,-1,0
tract_5,0.0,0.914,2.02,33_322_261,-1,0
tract_6,0.025,0.134,27.32,33_322_261,-1,1
tract_7,0.0,0.937,17.55,33_322_261,-1,1
tract_8,0.031,0.182,28.45,33_322_261,-1,1
tract_1,0.0,0.877,0.0,33_338_318,-1,0
tract_2,0.0,0.298,0.0,33_338_318,-1,0
tract_3,0.0,0.722,0.0,33_338_318,-1,0
tract_4,0.0,0.871,0.0,33_338_318,-1,0
tract_5,0.0,0.754,23.89,33_338_318,-1,1
tract_6,0.012,0.033,53.68,33_338_318,-1,1
tract_7,0.0,0.801,22.43,33_338_318,-1,1
tract_8,0.0,0.614,0.0,33_338_318,-1,0
tract_1,0.0,0.873,9.56,33_351_181,0,0
tract_2,0.0,0.18,1.59,33_351_181,0,0
tract_3,0.0,0.978,0.64,33_351_181,0,0
tract_4,0.0,0.103,0.8,33_351_181,0,0
tract_5,0.0,0.923,7.27,33_351_181,0,0
tract_6,0.0,0.196,16.31,33_351_181,1,1
tract_7,0.283,0.738,39.04,33_351_181,1,1
tract_8,0.005,0.204,24.79,33_351_181,1,1
tract_1,0.0,0.874,0.59,33_355_464,-1,0
tract_2,0.0,0.298,1.38,33_355_464,-1,0
tract_3,0.0,0.717,9.51,33_355_464,-1,0
tract_4,0.035,0.864,26.35,33_355_464,-1,1
tract_5,0.322,0.802,37.62,33_355_464,-1,1
tract_6,0.0,0.153,16.75,33_355_464,-1,1
tract_7,0.0,0.797,7.0,33_355_464,-1,0
tract_8,0.0,0.62,0.8,33_355_464,-1,0
tract_1,0.0,0.643,0.0,33_366_315,-1,0
tract_2,0.0,0.273,0.0,33_366_315,-1,0
tract_3,0.0,0.409,0.0,33_366_315,-1,0
tract_4,0.0,0.991,0.0,33_366_315,-1,0
tract_5,0.0,0.474,23.89,33_366_315,-1,1
tract_6,0.026,0.151,53.68,33_366_315,-1,1
tract_7,0.0,0.54,22.43,33_366_315,-1,1
tract_8,0.0,0.865,0.0,33_366_315,-1,0
tract_1,0.0,0.958,0.0,33_366_463,-1,0
tract_2,0.0,0.293,0.0,33_366_463,-1,0
tract_3,0.0,0.862,0.0,33_366_463,-1,0
tract_4,0.0,0.733,0.0,33_366_463,-1,0
tract_5,0.251,0.92,61.3,33_366_463,-1,1
tract_6,0.0,0.179,27.29,33_366_463,-1,1
tract_7,0.0,0.904,11.41,33_366_463,-1,1
tract_8,0.0,0.416,0.0,33_366_463,-1,0
tract_1,0.0,0.127,0.0,33_377_430,-1,0
tract_2,0.0,0.161,0.0,33_377_430,-1,0
tract_3,0.0,0.157,0.0,33_377_430,-1,0
tract_4,0.0,0.897,0.0,33_377_430,-1,0
tract_5,0.007,0.074,58.26,33_377_430,-1,1
tract_6,0.001,0.014,30.89,33_377_430,-1,1
tract_7,0.0,0.012,10.85,33_377_430,-1,0
tract_8,0.0,0.996,0.0,33_377_430,-1,0
tract_1,0.0,0.454,23.53,34_212_382,1,1
tract_2,0.083,0.356,54.58,34_212_382,1,1
tract_3,0.0,0.691,21.89,34_212_382,1,1
tract_4,0.0,0.478,0.0,34_212_382,0,0
tract_5,0.0,0.6,0.0,34_212_382,0,0
tract_6,0.0,0.132,0.0,34_212_382,0,0
tract_7,0.0,0.541,0.0,34_212_382,0,0
tract_8,0.0,0.783,0.0,34_212_382,0,0
tract_1,0.017,0.208,24.66,34_216_232,-1,1
tract_2,0.004,0.038,7.21,34_216_232,-1,0
tract_3,0.0,0.507,2.67,34_216_232,-1,0
tract_4,0.0,0.673,0.17,34_216_232,-1,0
tract_5,0.0,0.411,2.5,34_216_232,-1,0
tract_6,0.0,0.093,5.62,34_216_232,-1,0
tract_7,0.0,0.342,21.81,34_216_232,-1,1
tract_8,0.233,0.685,35.36,34_216_232,-1,1
tract_1,0.0,0.68,11.0,34_219_522,-1,1
tract_2,0.0,0.094,25.48,34_219_522,-1,1
tract_3,0.055,0.861,63.52,34_219_522,-1,1
tract_4,0.0,0.222,0.0,34_219_522,-1,0
tract_5,0.0,0.786,0.0,34_219_522,-1,0
tract_6,0.0,0.17,0.0,34_219_522,-1,0
tract_7,0.0,0.742,0.0,34_219_522,-1,0
tract_8,0.0,0.58,0.0,34_219_522,-1,0
tract_1,0.0,0.986,14.66,34_221_265,1,1
tract_2,0.069,0.369,34.0,34_221_265,1,1
tract_3,0.0,0.951,13.64,34_221_265,0,0
tract_4,0.0,0.568,3.34,34_221_265,0,0
tract_5,0.0,0.94,0.48,34_221_265,0,0
tract_6,0.0,0.196,0.33,34_221_265,0,0
tract_7,0.0,0.956,4.78,34_221_265,0,0
tract_8,0.051,0.302,28.77,34_221_265,1,1
tract_1,0.0,0.662,2.71,34_223_480,0,0
tract_2,0.0,0.276,6.27,34_223_480,0,0
tract_3,0.021,0.435,25.58,34_223_480,1,1
tract_4,0.21,0.991,36.06,34_223_480,1,1
tract_5,0.0,0.495,21.29,34_223_480,1,1
tract_6,0.0,0.098,5.6,34_223_480,0,0
tract_7,0.0,0.56,2.34,34_223_480,0,0
tract_8,0.0,0.852,0.16,34_223_480,0,0
tract_1,0.0,0.606,2.45,34_238_483,0,0
tract_2,0.0,0.266,5.67,34_238_483,0,0
tract_3,0.0,0.363,23.14,34_238_483,1,1
tract_4,0.192,0.998,37.87,34_238_483,1,1
tract_5,0.0,0.432,22.36,34_238_483,1,1
tract_6,0.0,0.085,5.88,34_238_483,0,0
tract_7,0.0,0.5,2.46,34_238_483,0,0
tract_8,0.0,0.889,0.17,34_238_483,0,0
tract_1,0.0,0.559,23.53,34_242_351,1,1
tract_2,0.063,0.548,54.58,34_242_351,1,1
tract_3,0.0,0.309,21.89,34_242_351,1,1
tract_4,0.0,0.999,0.0,34_242_351,0,0
tract_5,0.0,0.381,0.0,34_242_351,0,0
tract_6,0.0,0.074,0.0,34_242_351,0,0
tract_7,0.0,0.451,0.0,34_242_351,0,0
tract_8,0.0,0.914,0.0,34_242_351,0,0
tract_1,0.0,0.856,22.03,34_244_261,-1,1
tract_2,0.028,0.331,10.37,34_244_261,-1,1
tract_3,0.0,0.69,2.39,34_244_261,-1,0
tract_4,0.0,0.893,0.17,34_244_261,-1,0
tract_5,0.0,0.727,2.5,34_244_261,-1,0
tract_6,0.0,0.148,5.6,34_244_261,-1,0
tract_7,0.0,0.776,21.73,34_244_261,-1,1
tract_8,0.225,0.954,35.22,34_244_261,-1,1
tract_1,0.0,0.546,20.71,34_257_347,1,1
tract_2,0.0,0.008,48.04,34_257_347,1,1
tract_3,0.0,0.766,19.27,34_257_347,1,1
tract_4,0.0,0.386,4.72,34_257_347,0,0
tract_5,0.0,0.679,0.68,34_257_347,0,0
tract_6,0.0,0.148,0.06,34_257_347,0,0
tract_7,0.0,0.625,0.93,34_257_347,0,0
tract_8,0.0,0.711,5.58,34_257_347,0,0
tract_1,0.0,0.17,2.45,34_264_520,0,0
tract_2,0.0,0.172,5.67,34_264_520,0,0
tract_3,0.0,0.114,23.14,34_264_520,1,1
tract_4,0.008,0.915,37.87,34_264_520,1,1
tract_5,0.0,0.022,22.36,34_264_520,1,1
tract_6,0.0,0.012,5.88,34_264_520,0,0
tract_7,0.0,0.054,2.46,34_264_520,0,0
tract_8,0.0,0.997,0.17,34_264_520,0,0
tract_1,0.0,0.723,0.0,34_272_346,0,0
tract_2,0.0,0.087,0.0,34_272_346,0,0
tract_3,0.0,0.894,0.0,34_272_346,0,0
tract_4,0.0,0.161,0.0,34_272_346,0,0
tract_5,0.0,0.819,23.89,34_272_346,1,1
tract_6,0.008,0.215,53.68,34_272_346,1,1
tract_7,0.0,0.779,22.43,34_272_346,1,1
tract_8,0.0,0.528,0.0,34_272_346,0,0
tract_1,0.032,0.981,19.66,34_276_184,-1,1
tract_2,0.0,0.257,3.27,34_276_184,-1,0
tract_3,0.0,0.978,1.31,34_276_184,-1,0
tract_4,0.0,0.475,0.68,34_276_184,-1,0
tract_5,0.0,0.957,6.17,34_276_184,-1,0
tract_6,0.0,0.201,13.86,34_276_184,-1,1
tract_7,0.096,0.964,33.17,34_276_184,-1,1
tract_8,0.004,0.039,21.88,34_276_184,-1,1
tract_1,0.0,0.292,15.47,34_294_184,-1,0
tract_2,0.0,0.041,4.17,34_294_184,-1,0
tract_3,0.0,0.554,1.68,34_294_184,-1,0
tract_4,0.0,0.631,0.3,34_294_184,-1,0
tract_5,0.0,0.459,4.49,34_294_184,-1,0
tract_6,0.0,0.103,10.07,34_294_184,-1,0
tract_7,0.1,0.488,39.07,34_294_184,-1,1
tract_8,0.104,0.915,24.75,34_294_184,-1,1
tract_1,0.0,0.632,2.23,34_300_474,-1,0
tract_2,0.0,0.271,5.17,34_300_474,-1,0
tract_3,0.0,0.396,21.09,34_300_474,-1,1
tract_4,0.212,0.969,34.5,34_300_474,-1,1
tract_5,0.039,0.504,26.81,34_300_474,-1,1
tract_6,0.0,0.091,7.05,34_300_474,-1,0
tract_7,0.0,0.528,2.95,34_300_474,-1,0
tract_8,0.0,0.873,0.2,34_300_474,-1,0
tract_1,0.0,0.947,16.68,34_321_224,-1,1
tract_2,0.0,0.295,4.5,34_321_224,-1,0
tract_3,0.0,0.841,1.81,34_321_224,-1,0
tract_4,0.0,0.761,0.28,34_321_224,-1,0
tract_5,0.0,0.855,4.18,34_321_224,-1,0
tract_6,0.0,0.01,9.44,34_321_224,-1,0
tract_7,0.108,0.879,36.42,34_321_224,-1,1
tract_8,0.144,0.502,26.68,34_321_224,-1,1
tract_1,0.0,0.019,0.0,34_321_365,-1,0
tract_2,0.0,0.122,0.0,34_321_365,-1,0
tract_3,0.0,0.301,0.0,34_321_365,-1,0
tract_4,0.0,0.821,0.0,34_321_365,-1,0
tract_5,0.0,0.205,23.89,34_321_365,-1,1
tract_6,0.038,0.133,53.68,34_321_365,-1,1
tract_7,0.0,0.131,22.43,34_321_365,-1,1
tract_8,0.0,0.976,0.0,34_321_365,-1,0
tract_1,0.0,0.47,0.84,34_321_460,-1,0
tract_2,0.0,0.017,1.95,34_321_460,-1,0
tract_3,0.0,0.705,13.48,34_321_460,-1,0
tract_4,0.111,0.566,37.35,34_321_460,-1,1
tract_5,0.15,0.626,28.06,34_321_460,-1,1
tract_6,0.0,0.133,12.49,34_321_460,-1,0
tract_7,0.0,0.556,5.22,34_321_460,-1,0
tract_8,0.0,0.771,0.6,34_321_460,-1,0
tract_1,0.0,0.791,19.01,34_323_224,-1,1
tract_2,0.0,0.293,5.13,34_323_224,-1,0
tract_3,0.0,0.598,2.06,34_323_224,-1,0
tract_4,0.0,0.94,0.24,34_323_224,-1,0
tract_5,0.0,0.645,3.59,34_323_224,-1,0
tract_6,0.002,0.042,8.29,34_323_224,-1,0
tract_7,0.089,0.696,31.28,34_323_224,-1,1
tract_8,0.215,0.77,30.4,34_323_224,-1,1
tract_1,0.0,0.307,1.63,34_325_422,0,0
tract_2,0.0,0.037,3.77,34_325_422,0,0
tract_3,0.0,0.567,15.37,34_325_422,0,0
tract_4,0.075,0.687,25.16,34_325_422,1,1
tract_5,0.056,0.484,33.5,34_325_422,1,1
tract_6,0.023,0.173,16.63,34_325_422,1,1
tract_7,0.0,0.405,3.68,34_325_422,0,0
tract_8,0.0,0.872,0.25,34_325_422,0,0
tract_1,0.0,0.219,0.55,34_333_519,-1,0
tract_2,0.0,0.184,1.27,34_333_519,-1,0
tract_3,0.0,0.063,8.76,34_333_519,-1,0
tract_4,0.004,0.936,24.27,34_333_519,-1,1
tract_5,0.151,0.408,39.42,34_333_519,-1,1
tract_6,0.0,0.002,17.55,34_333_519,-1,1
tract_7,0.0,0.103,7.34,34_333_519,-1,0
tract_8,0.0,0.997,0.84,34_333_519,-1,0
tract_1,0.0,0.71,0.6,34_342_500,-1,0
tract_2,0.0,0.283,1.39,34_342_500,-1,0
tract_3,0.0,0.492,9.6,34_342_500,-1,0
tract_4,0.041,0.973,26.6,34_342_500,-1,1
tract_5,0.341,0.857,37.4,34_342_500,-1,1
tract_6,0.0,0.11,16.65,34_342_500,-1,1
tract_7,0.0,0.612,6.96,34_342_500,-1,0
tract_8,0.0,0.815,0.8,34_342_500,-1,0
tract_1,0.0,0.935,1.76,34_354_278,-1,0
tract_2,0.0,0.216,0.12,34_354_278,-1,0
tract_3,0.0,0.997,0.82,34_354_278,-1,0
tract_4,0.0,0.26,5.1,34_354_278,-1,0
tract_5,0.0,0.954,19.41,34_354_278,-1,1
tract_6,0.004,0.015,43.61,34_354_278,-1,1
tract_7,0.0,0.944,18.22,34_354_278,-1,1
tract_8,0.001,0.014,10.94,34_354_278,-1,0
tract_1,0.0,0.486,0.0,34_367_533,-1,0
tract_2,0.0,0.023,0.0,34_367_533,-1,0
tract_3,0.0,0.718,0.0,34_367_533,-1,0
tract_4,0.0,0.451,0.0,34_367_533,-1,0
tract_5,0.123,0.505,61.3,34_367_533,-1,1
tract_6,0.0,0.138,27.29,34_367_533,-1,1
tract_7,0.0,0.57,11.41,34_367_533,-1,1
tract_8,0.0,0.759,0.0,34_367_533,-1,0
tract_1,0.0,0.893,0.53,34_369_449,-1,0
tract_2,0.0,0.19,1.23,34_369_449,-1,0
tract_3,0.0,0.986,8.5,34_369_449,-1,0
tract_4,0.001,0.148,23.55,34_369_449,-1,1
tract_5,0.238,0.951,39.7,34_369_449,-1,1
tract_6,0.003,0.182,18.25,34_369_449,-1,1
tract_7,0.0,0.915,7.39,34_369_449,-1,0
tract_8,0.0,0.245,0.85,34_369_449,-1,0
tract_1,0.0,0.88,0.0,34_375_521,-1,0
tract_2,0.0,0.184,0.0,34_375_521,-1,0
tract_3,0.0,0.981,0.0,34_375_521,-1,0
tract_4,0.0,0.119,0.0,34_375_521,-1,0
tract_5,0.19,0.896,61.3,34_375_521,-1,1
tract_6,0.0,0.197,27.29,34_375_521,-1,1
tract_7,0.0,0.906,11.41,34_375_521,-1,1
tract_8,0.0,0.273,0.0,34_375_521,-1,0
tract_1,0.0,0.342,0.0,34_376_173,-1,0
tract_2,0.0,0.026,0.0,34_376_173,-1,0
tract_3,0.0,0.598,0.0,34_376_173,-1,0
tract_4,0.0,0.588,0.0,34_376_173,-1,0
tract_5,0.0,0.503,11.61,34_376_173,-1,0
tract_6,0.0,0.112,26.05,34_376_173,-1,1
tract_7,0.075,0.434,62.34,34_376_173,-1,1
tract_8,0.0,0.853,0.0,34_376_173,-1,0
tract_1,0.207,0.949,27.17,35_217_211,-1,1
tract_2,0.013,0.373,13.37,35_217_211,-1,0
tract_3,0.0,0.803,4.7,35_217_211,-1,0
tract_4,0.0,0.803,0.5,35_217_211,-1,0
tract_5,0.0,0.823,1.02,35_217_211,-1,0
tract_6,0.0,0.17,2.29,35_217_211,-1,0
tract_7,0.0,0.862,14.18,35_217_211,-1,1
tract_8,0.151,0.707,36.77,35_217_211,-1,1
tract_1,0.001,0.004,23.22,35_219_199,1,1
tract_2,0.0,0.131,6.26,35_219_199,0,0
tract_3,0.0,0.267,2.51,35_219_199,0,0
tract_4,0.0,0.841,0.18,35_219_199,0,0
tract_5,0.0,0.171,2.6,35_219_199,0,0
tract_6,0.0,0.043,5.84,35_219_199,0,0
tract_7,0.0,0.096,22.66,35_219_199,1,1
tract_8,0.158,0.946,36.73,35_219_199,1,1
tract_1,0.0,0.984,0.0,35_270_534,-1,0
tract_2,0.0,0.277,0.0,35_270_534,-1,0
tract_3,0.0,0.937,0.0,35_270_534,-1,0
tract_4,0.0,0.603,0.0,35_270_534,-1,0
tract_5,0.0,0.93,0.0,35_270_534,-1,0
tract_6,0.0,0.194,0.0,35_270_534,-1,0
tract_7,0.0,0.949,0.0,35_270_534,-1,0
tract_8,0.0,0.249,0.0,35_270_534,-1,0
tract_1,0.0,0.313,22.55,35_272_269,-1,1
tract_2,0.0,0.028,6.08,35_272_269,-1,0
tract_3,0.0,0.572,2.44,35_272_269,-1,0
tract_4,0.0,0.614,0.17,35_272_269,-1,0
tract_5,0.0,0.477,2.55,35_272_269,-1,0
tract_6,0.003,0.105,7.88,35_272_269,-1,0
tract_7,0.0,0.411,22.25,35_272_269,-1,1
tract_8,0.047,0.227,36.07,35_272_269,-1,1
tract_1,0.024,0.615,24.65,35_276_206,1,1
tract_2,0.0,0.267,6.65,35_276_206,0,0
tract_3,0.0,0.367,2.67,35_276_206,0,0
tract_4,0.0,0.996,0.2,35_276_206,0,0
tract_5,0.0,0.435,2.92,35_276_206,0,0
tract_6,0.0,0.085,6.56,35_276_206,0,0
tract_7,0.029,0.493,25.44,35_276_206,1,1
tract_8,0.141,0.629,30.91,35_276_206,1,1
tract_1,0.009,0.903,22.47,35_283_223,1,1
tract_2,0.0,0.298,6.06,35_283_223,0,0
tract_3,0.0,0.763,2.43,35_283_223,0,0
tract_4,0.0,0.84,0.19,35_283_223,0,0
tract_5,0.0,0.79,2.86,35_283_223,0,0
tract_6,0.002,0.136,6.59,35_283_223,0,0
tract_7,0.037,0.827,24.93,35_283_223,1,1
tract_8,0.349,0.805,34.46,35_283_223,1,1
tract_1,0.0,0.982,0.0,35_288_341,-1,0
tract_2,0.0,0.28,0.0,35_288_341,-1,0
tract_3,0.0,0.929,0.0,35_288_341,-1,0
tract_4,0.0,0.62,0.0,35_288_341,-1,0
tract_5,0.0,0.925,23.89,35_288_341,-1,1
tract_6,0.008,0.077,53.68,35_288_341,-1,1
tract_7,0.0,0.945,22.43,35_288_341,-1,1
tract_8,0.0,0.269,0.0,35_288_341,-1,0
tract_1,0.0,0.314,22.84,35_293_261,-1,1
tract_2,0.0,0.207,6.16,35_293_261,-1,0
tract_3,0.0,0.036,2.47,35_293_261,-1,0
tract_4,0.0,0.965,0.18,35_293_261,-1,0
tract_5,0.0,0.123,2.59,35_293_261,-1,0
tract_6,0.002,0.03,6.73,35_293_261,-1,0
tract_7,0.0,0.198,22.52,35_293_261,-1,1
tract_8,0.092,0.403,36.52,35_293_261,-1,1
tract_1,0.0,0.328,0.0,35_298_364,-1,0
tract_2,0.0,0.03,0.0,35_298_364,-1,0
tract_3,0.0,0.585,0.0,35_298_364,-1,0
tract_4,0.0,0.601,0.0,35_298_364,-1,0
tract_5,0.0,0.491,23.89,35_298_364,-1,1
tract_6,0.038,0.223,53.68,35_298_364,-1,1
tract_7,0.0,0.425,22.43,35_298_364,-1,1
